ID,O100C00,O100C01,O100C99,O101C00,O101C01,O101C99,O102C00,O102C01,O102C99,O103C00,O103C01,O103C99,O104C00,O104C01,O104C99
Eng,Feeding,Threatening,. . .,Kicking,Cleaning up,. . .,Finding a four-leaf clover,Step on it,,,,,,,
Kor,모이를 주기,위협하기,. . .,발로 차버리기,치우기,. . .,네 잎 클로버를 찾기,밟기,,,,,,,
Jpn,,,. . .,,,. . .,,,,,,,,,
AnswerDescEng,Answer Feeding.,Answer Threatening.,Answer Imitating chirping.,A,A,A,A,A,,,,,,,
AnswerDescKor,모이를 주기 결과1/2/3,위협하기 결과1/2/3,. . . 결과,발로 차버리기  결과,치우기  결과,. . . 결과,네 잎 클로버를 찾기  결과,밟기  결과,,,,,,,
AnswerDescJpn,,,,,,,,,,,,,,,
NeedObservational,1,0,0,0,0,0,1,0,,,,,,,
NeedPersuasive,0,0,0,0,2,0,0,0,,,,,,,
NeedMentalStrength,0,1,0,2,0,0,1,1,,,,,,,
GetContents,W001,W002,W003,W004,W005,W003,W006,W007,,,,,,,
